순번,표제어,대분류,영문,설명,출처,출처1,중분류
11,AN/TPQ-37,무기체계,AN/TPQ-37,"미국에서 개발한 탐지거리 50km, 위상배열방식의 대포병 탐지레이더로 적 타격수단을 신속, 정확하게 탐지하는 세계적으로 가장 우수한 장비이다.",방사청용어,방사청홈페이지,기동화력
12,BOA,기타,,"약어 ""BOA"" 는 ""한도액 구매 주문계약""을 뜻하는 것으로, 이에 의거 매수인은 ""요정비 물품""에 대한 ""정비용역""을 매도인으로부터 구매, 제공받기 위하여 본 계약서의 규정에 따라 견적요청서 및 구매주문서를 발행하며, 또한 유효 기간 내에 매수인이 발행한 모든 정비용역의 금액합계는 붙임3에 명시한 ""총 계약금액""을 초과하지 못하는 계약을 의미한다.",방위사업용어,507 국외조달(한도액 해외정비)계약 일반조건,기타
13,BOM,기타,Bill Of Materials,"특정 제품이 어떤 부품들로 구성되는가에 대한 데이터로 최종 제품과 부품들과의 관계를 계층적으로 표현하여 제품을 구성하는 부품 정보 및 부품 구조정보가 결합된 구조를 BOM이라 하며, 이는 용도와 부서에 따라 설계 BOM과 제조 BOM, 기타 BOM등으로 구분한다.",방위사업용어,518 국방규격의 서식 및 작성에 관한 지침,기타
14,CC 인증,정책/제도,Common Criteria Certification,민간업체가 개발한 정보보호 제품에 보안기능의 안전성과 신뢰성을 보증하기 위하여 국제 공통 평가 기준에 따라 인증하는 제도를 말한다.,방위사업청(통신장비계약팀),국방부훈령 제1389호 국방정보보안시스템업무훈령,재정정보
15,CN-235 시뮬레이터,무기체계,CN-235 Simulator,"CN-235 시뮬레이터는 조종사의 전술훈련 절차 숙달 및 CN-235 항공기 운영유지비 절감을 위한 모의 조종훈련 장비로서, 한국 터키간 방산협력의 일환으로 추진되었다.",방사청용어,방사청홈페이지,기동화력
16,DQ마크 인증 제도,정책/제도,DQ Mark Certification System,방산분야 중소기업 우수제품의 품질을 정부가 인증(Certification)하여 제품의 수출경쟁력 향상 및 수출확대를 지원하는 제도이다.,방위사업청,방위산업지원제도,방산운영
17,e-배움터,기타,,우리청 직원에게 상시학습을 지원하는 교육훈련 시스템을 말한다.,방위사업용어,411 이러닝콘텐츠 관리 지침,기타
18,F-15K,무기체계,F-15K Slam Eagle,"F-15E 스트라이크 이글(F-15E Strike Eagle)의 최신 파생형 모델이자 최신 4.5세대 전투기로 미국 보잉사가 제작하고, 대한민국 공군이 운용하는 전폭기이다. 2002년 4월 차기 전투기(FX) 사업의 기종으로 선정되어 총 40기가 발주되었으며 2005년 10월에 3, 4호기가 한국에 인도된 것을 시작으로 2008년 1차 도입이 모두 완료되었다. 2008년 4월 2차 FX 사업을 통해 추가로 21기의 F-15K가 더 발주되어 대한민국 공군은 총 60기(추락한 1기 제외)의 F-15K를 보유하고 있다. 2005년 12월 12일, F-15K는 '슬램 이글(Slam Eagle)'로 정식 명명되었다.",방사청용어,,항공기
19,FA-50 경공격기,무기체계,FA-50 Light Fighter,"‘FA-50 경공격기’는 ‘08년 12월부터 ’12년 10월까지 약 47개월 간 초음속 고등훈련기인 T-50을 토대로 정밀타격능력(JDAM, SFW), 전술데이터링크(Link-16) 및 야간작전능력 등의 전술능력을 개발하여 공군(제52시험평가전대)의 수락검사를 거쳐 2013년 8월 20일에 실전 배치된 전투기이다.",방사청용어,방위사업청홈페이지,유도무기
20,FCA,사업/계약관리,Free CArrier,"판매자의 책임이 가장 가벼운 복합운송조건이며, 물품에 대한 위험부담 분기점은 매수인이 지정한 운송인에게 매도인이 물품을 인도한 시점이다. ☞ 운송인 인도조건",방위사업청(국제가격검증팀),국제계약 심화과정(교재),국제계약
21,F연도,정책/제도,Fiscal Year,"모든 관리활동을 수행하는 “현재 연도”로서 지침하달, 계획수립 및 문서발간 시 적용하는 대상기간을 표시하기 위하여 사용된다. ☞ 회계 연도",국방부군수전력용어사전 KIMA,[pdf]계약업무 CHECK POINT,획득기획
22,GBU-24,무기체계,GBU-24 Paveway,GBU-24 페이브웨이 III(GBU-24 Paveway III)는 레이저 유도 폭탄으로 목표물에서 반사되는 레이저를 감지해 궤도를 수정하며 폭격하는 제3세대 레이저 유도 폭탄이다.,방사청용어,,유도무기
23,HLA,기타,High Level Architecture,"M&S 분야의 국제연동 표준으로 M&S체계간, 또는 M&S체계와 전투/C4I체계 간에 상호운용성을 촉진하고 기관 간 모형의 재사용성을 향상하기 위해 M&S체계가 준수해야 할 분산 시뮬레이션의 표준연동기술구조를 말한다.",방위사업용어,509 무기체계 획득단계별 M&S 적용지침,기타
24,HOT 대전차 미사일,무기체계,HOT(High subsonic Optical remote-guided Tube-launched) Antitank Missile,"프랑스 및 독일 합작회사인 유로 미사일사(社)에 의해 개발된 대전차 미사일로서, 명중률이 약 95%에 이르고, 차량 및 헬리콥터 장착용으로 1974년부터 생산 및 배치된 대전차 미사일이다.",방사청용어,방사청홈페이지,유도무기
25,IDEF0,사업/계약관리,Integration DEFinition for Function Modeling 0,"1970년대 미 공군의 ICAM(Integrated Computer-Aided Manufacturing) 프로젝트의 일환으로 개발된 기능모델링 방법론이다. 모델링 대상을 3~6개의 하부요소로 분할하고, 기능의 입출력과 제어, 호출, 메카니즘을 표기한다.",방위사업청,체계공학적용지침(안),국방기술지원
26,IT 활용 녹색 성장,정책/제도,Green by IT,"IT 하드웨어 및 소프트웨어를 기반으로 생산, 물류 등 기업활동을 혁신해 온실가스 배출량을 감소시키거나, IT 그린 솔루션을 도입하여 기업활동의 효율성을 향상시켜 GHG(Green House Gas, 온실가스) 배출을 감소시키는 것으로 정보기술을 활용해 행정업무의 효율을 높이고 녹색 성장을 달성하기 위한 것을 말한다. 활용분야는 습도·온도 감지기와 모니터링 시스템 등 IT를 기반으로 대형 건물의 탄소배출량을 저감할 수 있는 빌딩에너지관리시스템(BEMS)을 비롯, 직원들의 이동을 최소화할 수 있는 원격영상회의 시스템, 재택근무 확대 등이 있다.　",KIMA,451 신개념기술시범(ACTD)사업 업무관리 예규 별표,재정정보
27,JASSM,무기체계,Joint Air-to-Surface Stand-off Missile,주야간 전천후 정밀공격이 가능한 장거리 공대지 미사일로서 F-16 및 F-18등에 장착된다.,방사청용어,방사청홈페이지,유도무기
28,K1 전차,무기체계,K1 tank,"K1전차는 1986년부터 취역한 한국군의 주력전차이다.  미국의 M1 전차에 바탕을 두고 한국이 독자적으로 설계와 생산을 한 전차이다.  승무원은 4명이고 최고시속 65km, 항속거리 437km이다. 주포는 105mm 라이플포를 장착하고 있으며, 7.62mm 동축 기관총 외에 차장석 7.62mm 기관총을 탑재하고 있다. 탄약 적재량은 47발이다. 전차장용의 조준경이 별도로 마련되어 있어 전차장이 목표를 추적하여 포수의 포격을 유도할 수 있다.  K1의 전면 장갑은 초기에는 공간장갑을 사용하였으나 후에 미국으로부터 복합장갑을 제공받아 사용하였다. 그러나 현재는 현대정공에서 독자적으로 개발한 복합장갑을 사용하고 있다. 엔진은 MTU MB871Ka-501 디젤엔진이 장착되어 있으며, 이것은 독일의 레오파트 2 전차의 엔진을 약간 다운그레이드 시킨 것이다. 현용 디젤엔진 중에서 가장 신뢰성이 높다고 알려져 있다. 최고속력은 65km/h 항속거리는 약 500km 정도이다.",방사청용어,네이버 지식백과 (두산백과),기동화력
29,K-10 탄약 운반 장갑차,무기체계,K-10 Ammunition Transport Armored Vehicle,"K-9 자주포 특성발휘와 전투지속성 보장 극대화를 위해 세계 최초로 완전 자동화된 K-10 탄약운반장갑차를 우리나라 독자 기술로 개발, 사업분과위원회에서 사업승인(08.5월)후 삼성테크윈과 공급계약을 체결하였다.(08.11월). K10탄운차 야전 추가배치로 우리군의 포병화력 강화는 물론 수출협상에 긍정적인 효과가 기대되었다.",방사청용어,방사청홈페이지,기동화력
30,K11 복합 소총,무기체계,K-11 Objective Individual Combat Weapon,"한국군이 사용할 차기소총으로 5.56mm탄과 20mm 공중 폭발탄 발사가 가능한 복합형소총이다. 국방과학연구소 주도하에 S&T대우, 이오시스템, 풍산, 환화 등 국내방위산업체들이 개발에 참여하였다. 2000년대부터 개발을 시작하여 2008년 7월 전투용으로 적합판정을 받았다. 화력은 기본적인 5.56mm탄과 20mm 공중폭발탄을 사용하면서 강화되었다. 5.56mm탄은 기존 K-2소총의 탄창을 공유하며, 20mm탄은 5연발 탄창을 사용하게 된다. 5.56mm탄과 20mm탄의 발사는 방아쇠 하나로 가능하며 이는 이중총열을 가진 다른 소총과 차별화 되는 부분이다. K11복합형소총은 레이저 거리측정기, 탄도컴퓨터, CCD(charge-coupled device)카메라, 직접 관측용 광학장비, 환경감지기, 표적추적장치. 열영상장비 등의 사격장치를 갖춤으로써 주야에 관계없이 효과적인 작전수행이 가능하다. 또 기존 소총과 비교하였을 때 전투사거리를 3배 이상 늘렸다. K11복합형소총은 어떤 기후 조건에서도 운용 가능하도록 설계되었다. 20mm탄은 공중폭발, 접촉폭발, 충격지역, 자폭 등 4가지 모드를 지원한다. 공중폭발은 직사화기로 공격이 어려운 엄폐물 뒤의 적(敵)을 살상하는데 효과적이며, 20mm탄이 적의 3~4m 상공에서 폭발하게 된다. 가격은 1정당 약 1,600만원으로 책정되었으며, 국제 무기시장에서 경쟁력을 갖추었다는 평가다. 실제로 K11복합형소총의 실전배치가 결정 된 이후인 2010년 5월 UAE와 첫 수출을 계약이 이루어졌다. K11 복합형소총은 실전 배치시 K-2/K201 유탄발사기를 대체하는 전력으로 분대당 2정을 보급하고, 나머지 분대원은 일반소총을 보급하는 형태로 운용할 계획이다. 제작은 S&T대우에서 담당하고 있다.",방사청용어,네이버 지식백과 (두산백과),기동화력
31,K2 전차,무기체계,K2 Tank,"K2전차는 일명 '흑표(黑豹)로 불리는 대한민국 육군의 차기 주력전차로 1995년부터 개발이 진행되고 있는 전차를 일컫는다. 주요 제원은 다음과 같다.                        승무원: 3명, 전투중량: 55t,  최대속도: 시속 70Km(포장도로), 50Km(비포장), 항속거리: 450Km, 잠수도하: 4.1m,  엔진: 1,500마력 디젤, 주포: 120mm 55구경장 활강포, 자동장전, 탄약: 40발 적재, 부무장: 12.7mm/7.62mm 기관총, 주무장은 기존 3.5세대 전차의 일반적 무장인 55구경장 120mm활강포를 채택하여 기존 44구경장 120mm 전차포 보다 관통력을 높였다. 사격통제장치는 4세대  사격통제장치가 탑재된다. 이  장치는 목표물의 자동획득 및 자동추적 기능을 가지고 있는 것이특징이다.  전차 차체의 움직임과 상관없이 포신과 포탑을 움직여 목표물 조준이 가능하다. 레이저 거리측정으로 목표물의 거리를 계산하고, 포탄이 날아가는 탄도를 예측하여 발사각을 조정하는 탄도보정이 자동화되어 있다. 포탄의 장전은 자동장전 시스템이 도입 되었다. 다른 전차와 데이터를 공유하면서 통합된 전투가 가능하도록 설계 되었다. 동력계통 장비로 반(半) 능동형 암 내장형 유기압 현수장치 (ISU: In-arm Suspension Unit)를 채택했다. 첫 번째 전차 바퀴에는 지형을 감지하는 감지기를 장착하여 지형 형상을 감지하고, 뒤 쪽의 바퀴를 지형에 맞게 제어함으로써 주행 중 차체의 충격을 줄일 수 있게 설계되었다.  장갑으로 채택된 모듈식은  파손부위 보수가 편리하고,  신형 장갑으로 보강이 쉽도록 설계 되었다. 적외선화상경보시스템, 발전된 능동형 연막탄 발사기, 레이더 및 적외선 스텔스시스템, 운동에너지탄 방어용 장갑 시스템을 도입 생존성을 극대화 시켰다.  K2전차의 방어력은 기존 K1전차에 비해 약 2배 가량 향상된 것으로 알려졌다. 전차의 생산은 현대로템에서 담당하고 있다.",방사청용어,네이버 지식백과 (두산백과),기동화력
32,K200 장갑차,무기체계,K200 Armored Vehicle,"대우중공업(주)과 국방과학연구소가 한국형 보병전투차량(KIFV,Korean Infantry Fighting Vehicle)개발계획에 따라 독자 개발한 장갑차이다.  1978년부터 개발을 시작하여 1984년 12월 개발 종료와 함께 1985년부터 양산을 시작하였다. K200은 계열차량을 포함해 1998년까지 약 2,000대가 생산되었으며, 2000년 이후에도 각종 계열차량 개발과 생산이 계속되고 있다. 1993년 11월 2일 42대를 시작으로 1995년까지 말레이시아에 111대가 수출되었으며 승무원은 3명이고 최대시속 74km, 항속거리 480km, 무장병력 9명이 탑승할 수 있다. 탑승병력이 차 안에서 사격할 수 있도록 병력실 양 옆에 2개씩 총구멍(gunport) 4개를설치하였다.  기본형의 동력장치는 독일 만(MAN)이 개발한 280마력의 D2848M 8기통 수랭식 디젤기관과 영국제 T300 반자동변속기로 구성되었지만, K200A1은 엔진을 350마력의 D2848MT로, 변속기를 미국 앨리슨의 X-200-5K 자동변속기로 교체해 기동력을 강화하였다. 시속 7㎞로 수상주행도 가능하다.  무장은 방탄방패로 보호된 포수용 큐폴라에 12.7㎜ 중기관총 M2 1정과 7.62㎜ 기관총 M60 1정을 장비하고, 차장용 큐폴라에도 7.62㎜ 기관총 M60 1정을 장착할 수 있다. 자체 방어를 위해 차체 앞에 연막탄발사기 6개를 장비하였다. 4.2인치 박격포 탑재차 K242A1·20㎜ 대공벌컨포 탑재차 K263A1·구난회수차 K288A1·화생방(NBC) 정찰차 등이 있다.",방사청용어,네이버 지식백과(두산백과),기동화력
33,K21 장갑차,무기체계,K21 Armored Vehicle,"K21 보병전투장갑차는 대한민국 육군의 차기 보병전투장갑차이다. 개발은 1990년대 초 부터 국방과학연구소(ADD)와 두산DST가 주축이 되어 진행되었고  2005년 5월 NIFV(차기보병전투차)란 이름으로 시제차량이 제작 공개된 이후 연차적으로 전력화가진행되고 있다.  승무원은 3-9명이 탑승할 수 있고 주무장으로 분당 300발 발사가 가능한 40mm 기관포를 장착하였으며, 독자적 도하(渡河)능력을 갖추기 위해 중량은 25t으로 설계되었다. , 탄약은 한국에서 자체 개발한 운동에너지탄(APFSDS)과 복합기능탄을 사용할 예정이다. 특히 근접신관을 갖춘 복합탄의 경우 적 헬기도 위협 할 수 있다. 부무장으로 7.62mm 공축기관총을 장비하며, 포탑 우측 측면에 한국형 차세대 대전차미사일 2기를 장비할 예정이다. 이 미사일은 3세대 대전차유도무기로 발사 후 목표물 명중까지 별도의 유도가 필요없다.   장갑은 플라스틱 수지와 강화섬유를 접합시켜 만든 복합재를 주 재료로 한다. 현수장치 장착 등을 위한 기본프레임에는 2115알루미늄 합금을 사용하고, 나머지 부분은 복합재와 세라믹 타일을 결합한 복합적층(複合的層) 구조장갑으로 설계되었다. 이 결과 전면 30mm탄, 측면과 후면 14.7mm탄, 상부 152mm탄의 공중작열도 방어 할 수 있게 되었다. 레이저위협 경보기, 자외선 미사일 경보시스템, 주야간 정밀조준장치, 피아탐지장치 등도 장비하여 먼저 적을 보고 격파 할 수 있는 능력을 갖추었다.동력성능은  25t의 중량에 750마력의 엔진을 탑재하여 높은 톤당 마력수를 확보하였다. 엔진은 독일 MAN사 특수차량엔진을 개량하여 D2840LXE를 채택했다. 현수장치는 암 내장식 유기압 현수장치를 사용한다. 수상운행 장치는 워터제트 대신 궤도주행식을 채택하면서 구조 단순화와 중량의 경량화를 실현하였다. 수상주행시 시속 4~6km의 속도로 항해 가능하며, 생산은 두산DST에서 담당하고 있다.",방사청용어,네이버 지식백과 (두산백과),기동화력
34,K30,무기체계,K30 Biho,30mm자주대공포(비호)의 고유명칭(모델명)이다. ☞ 비호,방사청용어,,기동화력
35,K-55용 탄약운반장갑차,무기체계,Ammunition Carrier Armored Vehicle,"사거리연장 및 발사속도가 증가되는 K-55A1 자주포의 전력발휘 완전성 보장을 위해 자주포와 동일한 기동력, 방호력 및 신속한 지원능력을 보유한 장갑차이다.",방사청용어,방사청홈페이지,기동화력
36,K-9 자주포,무기체계,K-9 Self-propelled Artillery,"K-9자주포는 북한과 비교하여 열세에 있는 포병전력을 강화하기 위한 목적으로 ADD주도로 개발되어 대한민국 육군과 해병대가 운영하고 있는 신형 자주포이다. K-9자주포의 개발은 1989년부터 시작되었고, 1996년 6월에 시제차량인 ‘XK-9’자주포가 완성되었다. 승무원은 5명이고 엔진은 독일산 MTU881 Ka-550 1000마력 디젤엔진을 탑재하였다.  K-9자주포의 주무장인 화포는 52구경장에 155mm이다. 여기에 신형 개량탄을 사용하여 사거리가 40Km 이상으로 늘어났다. 목표물의 위치가 파악되면 자동으로 사격제원을 계산하는 탄도계산기, 계산된 사격제원으로 포를 기동하여 고각과 방향을 맞추어 사격하도록 하는 장치 등을 갖추었다. 또 링 레이저 자이로를 이용한 관성항법장치 MAPS를 장착하여 자동으로 포의 위치와 자세를 확인 할 수 있다. 급속발사 때는 15초 이내에 초탄 3발을 발사 할 수 있으며, 3분간 분당 6~8발, 1시간 동안 분당 2~3발 사격이 가능하다 정지상태에서 초탄 발사시간은 30초, 기동 중에는 60초 이내에 목표물 타격이 가능하다. K-9자주포는한 목표지점에 고각(高角)을 달리하여 연속사격 할 수 있어  갱도형태로 구축된 북한 포진지에 다양한 각도로 효과적인 포격을 가할 수 있다. 생존성 측면에서 볼 때, K-9자주포는 강판장갑에 의한 기본방호는 물론, 화생방전을 대비한 보호장비, 포신온도관리 및 경고장치, 자주포 내부화재 진화장치, 유압배관 파손시 유압을 차단하는 유압차단 퓨즈 등도 갖추어 생존성이 높아졌다. 최고속력 60km/h, 항속거리 360km로  K1, K1A1 전차와 같은 기동력을 가져  K1계열의 전차들과 효과적인 작전수행이 가능하다. 한국군은 K-9자주포를 약 1000대를 생산 배치할 계획이며, 2002년 처음 터키에 수출하기도 하였다. 제작은 삼성테크윈(주)에서 담당하고 있다. 가격은 대당 40억 원에 이르는 고가의 무기체계다.",방사청용어,네이버 지식백과 (두산백과),기동화력
37,KEPD 350K,무기체계,KEPD 350K,"KEPD 350은 독일과 스페인이 개발한 공대지 순항미사일이다. 스웨덴의 사브사가 파트너로 참여중이다.견고화 표적에 대한 정밀 타격을 위한 모듈식 장거리 미사일 체계 TAURUS KEPD 350은 현재 독일의 Tornado IDS 그리고 스페인의 EF-18 전투기에 탑재 운용되고 있으며, EUROFIGHTER에 대한 통합이 계획된 상태다. TAURUS KEPD 350은 고효율성을 자랑하는 481kg의 듀얼 스테이지 탄두 시스템 MEPHISTO를 사용하여 적 표적을 무력화하기 위해 초저공 지형-추적 비행을 통한 방공망 관통 임무를 수행할 수 있도록 설계되었다. 이 무기체계에는 프로그램이 가능한 독자적인 지능형 다목적 신관(PIMPF)이 장착되어 있으므로 층 계산 및 빈 공간 탐지 기술을 활용하여 표적 구조물 내의 미리 선정된 층에서 관통자를 폭발시킬 수 있다. 미사일 제원은 사거리: 500km+, 중량: 1400kg, 길이: 5m, 탄두: 481k+E76g",방사청용어,,유도무기
38,KF-16,무기체계,KF-16 Fighting Falcon,"KF-16은 대한민국 공군의 주력 F-16 전투기이다. 1985년부터 추진된 차세대 전투기 사업(KFP 사업)으로 진행되어 1차 사업으로 120 대, 2차 사업으로 20 대 등 총 140대가 도입되었다. 초기에는 삼성항공이 사업을 맡아 면허 생산하다가 삼성항공, 대우항공, 현대항공이 통폐합되면서 새로 설립된 한국항공우주산업으로 넘어갔다. 대한민국은 부품 2500개 정도가 변경되어 국내 라이센스 생산한 F-16 C/D 블록52 기체에 KF-16이란 제식 명칭을 사용하였다.",방사청용어,,항공기
39,K-PSAM1,무기체계,K-PSAM1,휴대용지대공유도무기(신궁)의 고유명칭(모델명)이다.,방사청용어,,유도무기
40,K-SAM1,무기체계,K-SAM1,단거리지대공유도무기(천마)의 고유명칭(모델명)이다.,방사청용어,,기동화력
41,KT-1,무기체계,KT-1 Woongbi,"KT-1은 대한민국의 훈련기로, 대한민국 기술로 처음 제작한 군용 항공기이다. 전투기 조종사 후보생들이 기초 조종술을 익히기 위해 활용하는 훈련기로 사용된다",방사청용어,,항공기
42,KUH-1,무기체계,Korean Utility Helicopter-1,한국형기동헬기(수리온)의 고유명칭(모델)이다.,방사청용어,,항공기
43,LISI 모델,정책/제도,Levels of Information Systems Interoperability Model,"상호운용성을 정의, 측정하기 위한 절차로써 상호운용성 성숙도모델, 참조모델, 능력모델, 구현옵션 목록 등으로 구성된다.",방위사업청(획득기반과),상호운용성 관리지침,획득기획
44,M&S,정책/제도,Modeling and Simulation,"모델링(modeling)과 시뮬레이션(Simulation)의 합성어로 방위력개선사업의 전과정을 과학적으로 지원하기 위하여 실제와 유사한 가상상황을 조성하여 각 요소들의 효과를 측정ㆍ평가해 주는 도구 및 수단을 말한다. 전투체계, 전장환경, 자연 및 인공현상 또는 절차 과정에 대한 물리적, 수학적 또는 논리적인 표현을 개발하는 모델링과 모델링의 산출물인 모델을 연속적인 시간의 흐름 위에서 구현하기 위한 방법론인 시뮬레이션이란 단어가 결합된 용어로서 다양한 문제 대한 연구와 분석수단을 제공한다.",KIMA,509 무기체계 획득단계별 M&S 적용지침,획득기획
45,M&S 기반 획득,정책/제도,Simulation Based Acquisition,"M&S를 활용한 합리적인 의사결정에 의한 효율적 획득관리의 의미로, 획득 전 단계에 M&S기술을 활용하여 획득체계에 대한 공통의 관점과 절차적 예측가능성을 제공함으로써, 획득기간, 비용, 성능 목표를 달성가능하게 하는 과학적인 획득절차 혁신개념 또는 패러다임을 말한다.",방위사업청(획득기반과),무기체계 획득단계별 M&S 적용지침,획득기획
46,M&S 자원,정책/제도,Modeling & Simulation Resources,"M&S체계, 표준, 서비스, 데이터, 정보자원 저장소 등 M&S 기반 및 기술을 망라한 일체의 M&S 관련 유　무형의 지식 및 정보자원을 말한다.",KIMA,무기체계 획득단계별 M&S 적용지침,획득기획
47,M&S 체계,정책/제도,Modeling & Simulation System,"소요제기, 획득관리, 분석평가 및 훈련에 이르기까지 M&S기법을 적용하여 과학적인 의사결정 및 사업관리를 지원하는 유형의 도구(HW 및 SW 일체)를 총칭하는 개념으로 훈련, 분석, 획득 M&S체계로 분류한다.",방위사업청(획득기반과),무기체계 획득단계별 M&S 적용지침,획득기획
48,M&S 활용 계획,기타,Simulation Application Plan,"무기체계구성품의 전수명주기에 걸쳐 체계의 운영개념 및 요구성능 구체화, 비용절감, 개발기간단축 및 사업효율성 향상 등을 위해 M&S자원의 활용계획에 대해 기술함으로써 예측　검증을 통한 사업관리상의 위험을 최소화하기 위한 계획",방위사업용어,451 신개념기술시범(ACTD)사업 업무관리 예규 별표,기타
49,MLRS 대구경 다련장,무기체계,Multiple Luncher Roket System,미국에서 개발한 무기체계로서 고성능 사격통제장치와 이동식 발사대를 하나의 시스템으로 통합한 혁신적인 포병무기이며 FMS로 확보하였다.,방사청용어,방사청홈페이지,기동화력
