품명부호,품목식별지침부호,품명(한글),품명(영문),품명정의(한글),품명정의(영문)
14,A044A0,"베어링,볼형,환상형","BEARING,BALL,ANNULAR","두개의 원통형 링은 링 가운데 있는 한열  혹은 두열의 단단한 볼과 접촉해서 회전하 도록 되어서 링의 회전 마찰력을 감소시킬 수 있도록 되어있는 원통형 장치이다. 이중의 설치를 위하여 바탕처리를 특별하게 했 다. 제외:BEARING,BALL,AIRFRAME","A cylindrical device in which the inner or outer ring turns upon a single or double row of hardened balls which roll easily between the two rings, thus minimizing friction. For items with faces specially ground for duplex mounting see BEARING,BALL,DUPLEX. Excludes:BEARING,BALL,AIRFRAME."
15,A044A0,"베어링,롤러식,원통형","BEARING,ROLLER,CYLINDRICAL","내측 또는 외측링이 통로위에서 쉽게 구를 수 있도록 되어있는 한열 혹은 두열의 단단한 원통형 롤러 위에서 회전하도록 되어있 는 장치로 마찰력이 감소된다. 제외:BEARING,ROLLER,AIRFRAME","A nonadjustable roller bearing consisting of a single or multiple-row of hardened cylindrical rollers and a retainer used with or without inner or oute r rings. Excludes:BEARING,ROLLER,AIRFRAME."
16,A044A0,"베어링,롤러식,자동중심조정형","BEARING,ROLLER,SELF-ALIGNING","축의 변화도를 조정하고 궤도면에  손상을 입히지 않고 정렬이 않된 품목을 지지하는 구형궤도와 원통형 전동요소를 가진  감마 베어링으로서,베어링의 완전 정격을 활용되도록 해준다.",An antifriction bearing having a cylindrical rolling element and one spherical raceway which will adjust to varying degrees of shaft and/or support misalignment without damage to the raceways and permits the full rating of the bearing to be utilized.
17,A044A0,"베어링,롤러식,저널형","BEARING,ROLLER,JOURNAL",저널 혹은 회전하는 부분이 항시 케이지 속에 들어 있는 단단한 롤러 위에서 회전하는 베어링이다. 내측 혹은 외측의 궤도가 구조체의 한부분과 같아지는 경우도 있다.,"An item in which the shaft or revolving part turns upon hardened rollers usually contained in a cage. It must contain an inner or outer race, or both. For items without a race(s), see RETAINER AND ROLLER, BEARING."
19,A044A0,"베어링,볼형,스러스트용","BEARING,BALL,THRUST","볼이 회전을 함으로써 마찰력을 감소시키는 베아링이다. 축방향의 추진력에 저항하거 나 축방향 하중을 지탱하도록 설계되었다. 제외:BEARING,BALL,PIVOT","An antifriction bearing having a ball rolling element, designed to resist axial thrust, or to support an axial load. Excludes:BEARING,BALL,PIVOT."
20,A044A0,"베어링,롤러식,스러스트형","BEARING,ROLLER,THRUST","롤러 전동요소를 가진 감마베어링으로써,축방향 추력에 저항하거나  축방향 하중을 지탱하도록 설계되었다.","An antifriction bearing having a roller rolling element, designed to resist axial thrust, or to support an axial load."
21,A044A0,"베어링,롤러식,테이퍼형","BEARING,ROLLER,TAPERED","궤도내에서 쉽게 구를 수 있는 단열 또는 2열로된 점감 경화된 롤러위에 내부콘이나  외부컵이 회전하는 원통형 장치로서 마찰을최소화하고 레이디얼 하중을 지지하며 축방향 추력을 지탱하게 하도록 만들어졌다. 제외: BEARING,ROLLER, THRUST","A cylindrical device in which the inner cone or outer cup turns upon a single or double row of tapered hardened rollers which roll easily in a race, thus minimizing friction and designed to carry a radial load and capable of sustaining axial thrust. Excludes:BEARING,ROLLER,THRUST."
22,A044A0,"콘,테이퍼형 롤러 베어링용","CONE,TAPERED ROLLER",베어링의 전동요소에 대한 접촉면을 제공하는 테이퍼 베어링의 내부구성품이다.,An inner component of a tapered roller bearing which provides a contact surface for the rolling elements of the bearing.
23,A044A0,"콘 및 롤러,테이퍼형 롤러 베어링용","CONE AND ROLLERS,TAPERED ROLLER BEARING","원뿔(베어링의 전동요소를 위한  접촉면을 제공함),테이퍼 롤러의 보충을 (전동요소) 종종 리테이너(전동요소를 간격 유지시키는 품목)로 구성된 테이퍼 롤러베어링의 조립된 내부 구성품이다.","An assembled inner component of a tapered roller bearing, consisting of a cone (which provides a contact surface for the rolling elements of the bearing), a complement of tapered rollers (the rolling elements), and frequently a retainer (which spaces the rolling elements)."
24,A044A0,"컵,테이퍼형 롤러 베어링용","CUP,TAPERED ROLLERBEARING",베어링의 전동요소를 위한 접촉면을 제공하는 테이퍼 롤러베어링의 내부 구성품이다.,An outer component of a tapered roller bearing which provides a contact surface for the rolling elements of the bearing.
25,A044A0,"어댑터,슬리브 베어링용","ADAPTER SLEEVE,BEARING",축 직경에 큰 여유를 허용하는 직선 시트에 마찰방지 베어링을 위치하거나 설치하는데 사용되는 어댑터를 베어링이 가열되는 것을 막고 설치하는데 프레스로 쓰인다.,An adapter sleeve used to mount and locate an antifriction bearing on a straight shaft permitting wide tolerances of shaft diameter and making it unnecessary to heat the bearing or use a press for mounting.
28,A044A0,"링,베어링용,내부용","RING,BEARING,INNER",감마베어링의 전동요소에 접촉면을  제공하는 볼베어링 또는 롤러베어링의 내부구성품이다.,The inner component of a ball or roller bearing which provides a contact surface for the rolling elements of an antifriction bearing.
29,A044A0,"링,베어링용,외부용","RING,BEARING,OUTER",감마베어링의 전동요소에  접촉면을 제공하는 볼베어링 또는 롤러베어링의 외부구성품이다.,The outer component of a ball or roller bearing which provides a contact surface for the rolling elements of an antifriction bearing.
30,A044A0,"시트,베어링용","SEAT,BEARING",베어링을 넣을 수 있도록 고안된 보통은 원형의 강체 품목으로서 베어링이 자리하지만 싸여있거나 운동을 제한하지는 않는다.,"A rigid item usually circular in shape, designed to accommodate a bearing. It positions the bearing but does not encase it or restrain its motion."
32,A044A0,"리테이너,볼용,베어링용","RETAINER,BALL,BEARING",전동요소를 고정시키고 간격을 유지시키는 프레임이나 틀이다.,"A frame or inclosure which spaces and retains the rolling elements of a BEARING, BALL (as modified)."
33,A044A0,"리테이너,롤러용,베어링용","RETAINER,ROLLER,BEARING","""베어링,롤러식(BEARING,ROLLER)(서술된 품목)""의 전동요소의 간격을 유지하고 고정시키는 프레임 또는 틀이다.","A frame or inclosure which spaces and retains the rolling elements of a BEARING, ROLLER (as modified)."
34,A044A0,"리테이너 및 볼,베어링용","RETAINER AND BALLS,BEARING","""베어링,볼형(서술된 품목)(BEARING, BALL)의 전동요소 위치를 고정시키고 간격을  유지시키는 프레임 또는 뚜껑과 ""베어링,볼형(서술된 품목)(BEARING, BALL)""안에 전동요소가 들어있는 구면 동체로 구성된  볼베어링의 조립된 내부 구성품이다.","An assembled inner component of a ball bearing, consisting of a frame or inclosure which spaces and fixes the position of the rolling elements of a BEARING, BALL (as modified) and the spherical bodies which are the rolling elements in a BEARING, BALL (as modified)."
35,A044A0,"리테이너 및 롤러,베어링용","RETAINER AND ROLLERS,BEARING","""베어링,롤러식(서술된 품목)(BEARING, ROLLER)""의 전동요소 위치를 고정시키고  간격을 유지시키는 프레임 또는 뚜껑과 ""베어링,롤러식(BEARING, ROLLER)""안에 전동요소가 들어있는 롤러로 구성된 롤러 베어링의 조립된 내부구성품이다.","An assembled inner component of a roller bearing, consisting of a frame or inclosure which spaces and retains the rolling elements of a BEARING, ROLLER (as modified) and the rollers which are the rolling elements in a BEARING, ROLLER (as modified)."
36,A044A0,"볼,베어링용","BALL,BEARING","""베어링,볼형(BEARING,BALL)"" 의 회전부를 제공하는 일련의 동종의 구형체로서 주로  마찰을 완화하도록 고안되었다.제외:""BALL,CHECK"", ""BALL,VALVE,PORTED""","A homogenous spherical body, a series of which provides the rolling elements in a BEARING, BALL (as modified). The item is designed primarily to alleviate friction. It may have other usages such as the checking component in a ball-type check valve. Excludes:BALL,CHECK; BALL,VALVE,PORTED."
37,A044A0,"롤러,베어링용","ROLLER,BEARING",롤러베어링 안에 전동요소를 장치하는 속이 차있거나 구멍이 뚫려있는 원통형  본체이다.,A cylindrical body of either solid or hollow construction which provides the rolling elements in the roller bearing.
40,A044A0,"캠공이,니들베어링용","CAM FOLLOWER,NEEDLE","캠과 구름접촉하고, 왕복운동이나 요동운동을 선운동으로 전환하는데 사용되는 롤러와 스터드로 구성된 조립체이다.","An assembly consisting of a roller and stud used to effect a rolling contact with a cam, and convert the reciprocating or oscillating motion to linear motion."
41,A044A0,"베어링,볼형,기체용","BEARING,BALL,AIRFRAME","내측이나 외측링이 홈을 따라 도는 단단한 물 베어링에 접하 여 들도록 되어서 마찰을 극소화시키도록 된 원통형 품목 이다. 이들은 부식에 강하고, 무게가 경량이며, 미터단위 보다는 인치단위로 외부링의 면보다 통상 밖으로 튀어 나오거나 구경 보다 약간 큰 외부직경을 가진 대단히 폭이 좁은 안쪽 링 등으로 특성이 정하여 진다. 항공기의 제어장치 부분과 접촉 면에 사용하기 위하여 제작되었다. 제외:BEARING,BALL,ANNULAR","A cylindrical item in which the inner or outer ring turns upon row(s) of hardened BALL, BEARING which roll on a raceway, thus minimizing friction. These items are characterized by their noncorrosive qualities, lightness of weight, inch dimensions rather than metric, inner rings generally projecting beyond the faces of the outer ring, or a very narrow width inner ring having an outside diameter slightly larger than the bore diameter. Designed primarily for use in aircraft assemblies, such as control systems and surfaces of aircraft. Excludes:BEARING,BALL,ANNULAR."
43,A044A0,"베어링,볼형,패어리드용","BEARING,BALL,FAIRLEAD",고정되거나 자립하도록 되어있는 하나 혹은 여러열의 특수한 볼 베어링이다. 베어링의 한끝은 훼어리드로 되어있다.,"A special single or multiple-row ball bearing, rigid or self-aligning, and constructed with a fairlead at one end."
45,A044A0,"베어링,볼형,트랙롤러용","BEARING,BALL,TRACKROLLER",구면의 회전하는 요소를 가지고 마찰력을 감소시키도록 되어 있는 베어링이다. 트랙롤러 조립체에 사용하도록 설계되었다.,An antifriction bearing having spherical rolling elements designed for use in a track roller assembly.
46,A044A0,"베어링,롤러식,기체용","BEARING,ROLLER,AIRFRAME","내부 또는 외부링이 레이스 위에 굴러서 마찰을 최소화하는 경화된 롤러이다. 베어링의 열위로 회전하는 원기둥 모양의 베어링이다. 이들 베어링의 특성은 비부식성이고, 무게가 가벼우며, 미터가 아닌 인치계열이고, 내부링이 일반적으로 외부링의 면 이상으로 돌출하거나 매우 좁은 폭의 내부링이 안지름보다 약간 큰 바깥지름을 가진다는 것이다. 비행기의 제어계통 및 날개면과 같은 비행기 조립체에 주로 사용 하도록 만들어졌다. 제어:BEARING,ROLLER,CYLINDRICAL","A cylindrical item in which the inner or outer ring turns upon row(s) of hardened ROLLER, BEARING which roll on a raceway, thus minimizing friction. These items are characterized by their noncorrosive qualities, lightness of weight, inch dimensions rather than metric, inner rings generally projecting beyond the faces of the outer ring, or a very narrow width inner ring having an outside diameter slightly larger than the bore diameter. Designed primarily for use in aircraft assemblies, such as control systems and surfaces of aircraft. Excludes:BEARING,ROLLER,CYLINDRICAL."
47,A044A0,"베어링,롤러식,트랙롤러용","BEARING,ROLLER,TRACK ROLLER",원통형 전통요소를 가지고 있으며 트랙롤러조립체에 사용되도록 설계된 감마 베어링이다.,An antifriction bearing having cylindrical rolling elements designed for use in a track roller assembly.
48,A044A0,"베어링,볼형,벨 크랭크용","BEARING,BALL,BELL CRANK",특별한 이중 열 볼 베어링으로 완전히 플랜지를 가지고 있 는 리테이너형이다.,"A special double row ball bearing, retainer type, with integral flange."
49,A044A0,"베어링,볼형,로드엔드용","BEARING,BALL,ROD END",고정 또는 자동조심형 특수 단열 또는 다열 보올 베어링으로 암나사가 파여지고 활짝트이게 속이 빈 생크나 숫나사가 파여진 생크와 같이 제조된다.,"A special single or multiple-row ball bearing, rigid or self-aligning, and constructed with either a solid or hollow shank, internally or externally threaded."
50,A044A0,"베어링,롤러식,로드엔드형","BEARING,ROLLER,RODEND",고정 또는 자동조심형 특수 단열 또는 다열롤러 베어링으로 암나사가 파여지고 활짝트이게 속이 비인 생크나 숫나사가 파여진생크와 같이 제조된다.,"A special single or multiple-row roller bearing, rigid or self-aligning, and constructed with either inside threaded, plain hollow, maile threaded, or solid shank."
51,A044A0,"베어링,롤러식,니들형","BEARING,ROLLER,NEEDLE",저널 혹은 회전부분이 작은 직경이 곧바르 고 단단한 롤러 위해서 회전하는 베어링이 다. 롤러의 직경은 롤러 길이의 1/8 을 초 과하지 않는다.,A single or multiple-row antifriction bearing used with or without inner or outer races characterized by relatively small size rollers usually not ranging above 0.250 inch (6.35mm) diameter and generally longer in length in relation to diameter.
88,T316-C,"시동기,형광등용","STARTER,FLUORESCENT",단자 또는 접촉자와 함께 한 상자속에 조립된 스위치로 구성된 품목으로서 형광등에서 수은아크를 최초로 작동시키기  위해 특수하게 고안되어 있다.,"An item consisting of a switch assembled in a case with terminals or contacts, specially designed to initially actuate the mercury arc in a fluorescent lamp. It may include a capacitor."
89,T132-A,"탐지기,방사능용","DETECTOR,RADIAC","결합된 회로와 회로집이 있는,방사능 또는 자유 핵입자에 예민한 영구 또는 교체용 부분품으로 구성된 장치이다. 이비사된 이온 방사의 결과로서 다른 구성품으로  번열될 수 있는 전자펄스 또는 전류흐름을  발생시키며 계기나 표시기는 포함하지 않는다. 제외: PROBE, RADIAC","A device consisting of a permanent or replaceable element which is sensitive to radioactivity or free nuclear particles, together with its associated circuits and housing. As a result of the incident ionizing radiation, it produces an electron pulse or current flow that can be interpeted by other components. Does not include meters or indicators. Excludes:PROBE,RADIAC."
90,T187-D,"중계기,전화용","REPEATER,TELEPHONE",긴 전화선의 중간지점에서 음성변조신호를 수신하고 전자 적으로 증폭시키고 재 전달 하도록 제작된 품목이다. 이것은 전력 공급설비 혹은 시험기구에 관한 완전한 설비를 갖출 수 있다.,"An item designed to receive, to amplify electronically and to retransmit an audio modulated signal at an intermediate point in a long line. It may be completely self-contained with respect to power supply and/or test instruments."
91,T198-B,"카메라,텔레비전용","CAMERA,TELEVISION","광학장치와 감광전자관 또는 감광 반도체요소를 이용하여 시각심상(정물 또는 활동)을 전기임펄스로 변환하도록 특수하게 고안된 단일 구성품으로서 합성기록기나 합성기록 및 재생장비를 구비한 품목은 제어장비를 포함한다. 참조:CAMERA-RECORDING,VIDEO","A single component specifically designed to convert visual images (either still or in motion), utilizing an optical system and a light sensitive electron tube or light sensitive semiconductor elements, into electrical impulses. Control equipment may be included. It may be used at day or at day and at night. For items with integral recording or integral recording and reproducing equipment, see CAMERA-RECORDING,VIDEO. For digital cameras, see CAMERA SYSTEM,DIGITAL. For items to view an object in case of limited visibility, see  VIEWER,NIGHT VISION."
92,A23900,"헤드세트,음향용","HEADSET,ACOUSTICAL","관의 끝에 부착된 음향전도관과  수신기로 구성된 비 전기품목으로써 수신기는 착용자의 귀에 꼭맞는 형태이고,다른 품목에 의해 생성된, 귀에 음향을 전달하도록 설계되었으며 진동판,공진실, 계철과 머리띠를 포함한다. 제외: STETJPSCPE","A nonelectrical item consisting of sound conducting tubing and receivers which are attached to the end(s) of the tubing. The receivers are shaped to fit the ear of the wearer. It is designed to carry sound, produced by another item, to the ear. May include diaphragm, resonant chambers, yoke and/or headband. Excludes:STETHOSCOPE."
93,A06800,이어폰 엘리먼트,EARPHONE ELEMENT,"이어폰의 내부 조립품으로써 진동판을 포함하고 있지만 외각,수화구 또는 연결코드 등은 포함하지 않는다.","The internal fabrication of an earphone. It may include a diaphragm but does not include shell, earpiece, or a connecting cord."
94,A32200,"증폭기,트리거 펄스식","AMPLIFIER,TRIGGER PULSE","입력신호들이 입력신호에 상관 없이 전원으로 부터 전력을 제어하는 전자장치로써, 전전류와 전압에 관해 큰 진폭의 출력신호를 전달한다.출력신호의 특징은 한결같이 입력신호와 관련되며  전기에너지의 트리거펄스에 의해 제어된다.",An electronic device whose input signals control power from a source independent of the input signals and delivers output signals of greater amplitude with respect to current and/or voltage. The output signals characteristics are uniformly related to the input signals. It is controlled by triggering pulses of electrical energy.
95,A32200,"증폭기,비디오용","AMPLIFIER,VIDEO","비디오주파수 입력신호들이 입력신호들과는 관계없이 전원으로 부터 전력을 제어하며, 전류와 전압에 관하여 큰 진폭의 출력신호를 전달하는 전자장치이다.출력신호 특징은 한결같이 입력신호와 관련되며 전기충격을 음극선관 또는 다른 부품에 의해 가시현상으로 변환시켜주는 장비에 보통 사용된다.","An electronic device whose video frequency input signals control power from a source independent of the input signals, and delivers output signals of greater amplitude with respect to current and/or voltage. The output signals characteristics are uniformly related to the input signals. It is generally used in equipment in which the electrical impulses are converted into visual presentation by means of cathode ray tubes or other items."
96,A32200,"증폭기,전자제어식","AMPLIFIER,ELECTRONIC CONTROL","입력신호들이 국부 출력원을 제어하기 위한 입력신호 기능이 있고 전류나 전압에 관하여 큰 진폭의 출력신호를 전달해 주는 전자장치이다.출력신호 특징은 한결같이 입력신호와 관련되며 여자전기모터나 유사한 장치을 위해  출력을 제어하거나 공급하기에 적합하다. 만일 이 장치가 싱크로를 사용하지 않거나 서어보기구들을 사용 않하면  서어보증폭기,토오크증폭기 및 유사장비들을 포함한다.가청주파수,무선주파수,직류나 영상증폭기로 알맞게 분류된 품목은 포함하지  않는다.서어보기구를 통합하고 싱크로를 사용한 증폭기들은 ""AMPLIFIER,SYNCHRO SIGNAL""을 참조한다.","An electronic device which enables input signals to control a local source of power and deliver output signals of greater amplitude with respect to current and/or voltage. The output signals characteristics are uniformly related to the input signals, and are suitable for controlling or supplying power for exciting electric motors or similar devices. It includes devices commonly referred to as servo amplifiers, torque amplifiers and similar equipment only if these devices do not employ synchros nor incorporate servomechanisms. It does not include items which are properly classified as audio frequency, radio frequency, direct current or video amplifiers. For amplifiers that incorporate servomechanisms and employ synchros, see AMPLIFIER, SYNCHRO SIGNAL."
97,T139-A,바이어스 셀,BIAS CELL,두개의 전극에 전해물작용에 의해 전자관의 음극과 제어그리드 사이에  전위차를 유지하도록 특수하게 설계된 품목으로써 전류를 공급하도록 설계되지는 않았다.,An item specifically designed to maintain a difference of potential between the cathode and control grid of an eletron tube by means of the action of an electrolyte on two electrodes. It is not designed to supply an electrical current.
98,A077A0,"케이블조립체,전화기용","CABLE ASSEMBLY,TELEPHONE","일정한 길이를 가진 ""케이블,전화기용(CABLE,TELEPHONE)""은 한쪽 혹은 양쪽 끝이 가공되었거나 혹은 다른 품목에 연결되어 있다.갈래로 된 품목은 제외된다. 참조:CORD ASSEMBLY,ELECTRICAL","A definite continuous length of CABLE, TELEPHONE having one or both ends processed and/or terminated in fittings which provide for connection to other items. Excludes:items having branches or forks. See also CORD ASSEMBLY,ELECTRICAL."
99,A23800,음향측정세트,SOUND MEASURING SET,측정되는 음향의 강도에 따라  가시적 표시로 획득되어 음압측정을 하는  완비된 세트이다.,A complete set for making sound level measurements by deriving a visual indication relative to the intensity of the sound being measured.
100,A23800,"탐지세트,적외선식","DETECTING SET,INFRARED",어떤 물체에서 나오는 적외선방사선을 받아들여 물체의 존재 및 위치 여부를 탐지하는 완비된 세트이다.,A complete set for determining the presence and/or bearing of objects by receiving their infrared radiations.
102,A073A0,"플랜지,도파관용","FLANGE,WAVEGUIDE","다른 전기적인 접합물과의 연결목적을 위하여 내측 칫수가 도파관에 알맞도록 설계되고 불쑥내민 가장자리, 모서리 혹은 봉우리를 가진 도파관 접합물이다.","A waveguide fitting with a projecting rim, edge or ridge whose inside dimensions are designed to be affixed to a waveguide for the purpose of joining with another electrical fitting."
103,T332-A,"혼,확성기용","HORN,LOUDSPEAKER",여러군데의 교차된 지역에 음향을 전달하여 주는 것으로서 먼거리에서도 들을수 있도록 음향 에너지를 효과적으로 방사하도록 고안되어져 있다. 다세포 형태의 것으로서 진동판이나 동력 전달부를 갖지는 않는다.,An acoustic transformer with varying cross-sectional area designed to effectively radiate acoustic energy for reception at a distance. Includes multicellular types. Does not include a diaphragm or driver.
104,T01100,"접촉자 세트,회로차단기용","CONTACT SET,CIRCUIT","둘이상의 독립된 회로차단기 접촉자들의 집합체이다. 제외:CONTACT ASSEMBLY,ELECTRICAL","A grouping of two or more separate circuit breaker contacts. Excludes:CONTACT ASSEMBLY,ELECTRICAL."
105,T01100,"접촉자 세트,슬립 링용","CONTACT SET,COLLECTOR RING",둘 이상의 분리 슬립링 접촉자 그룹이다.,A grouping of two or more separate collector ring contacts.
106,T01100,"접촉자 세트,배전기용","CONTACT SET,DISTRIBUTOR",둘 이상의 각각의 배전기나 자석발전기  접촉자들의 집합체이다.,A grouping of two or more separate distributor or magneto contacts.
107,T01100,"접촉자 세트,단속기용","CONTACT SET,INTERRUPTER","둘 이상의 별개 단속기 접촉자들로 구성된 세트 품목이다. 제외:CONTACT ASSEMBLY,ELECTRICAL","A grouping of two or more separate interrupter contacts. Excludes:CONTACT ASSEMBLY,ELECTRICAL."
108,T01100,"접촉자 세트,전동기 시동기용","CONTACT SET,MOTOR STARTER","둘 이상의 ""시동기,전동기용(STARTER,MOTOR)"" 접촉자들의 집합체이다. 제외:CONTACT ASSEMBLY,ELECTRICAL","A grouping of two or more STARTER, MOTOR contacts. Excludes:CONTACT ASSEMBLY,ELECTRICAL."
109,T01100,"접촉자 세트,진동기용","CONTACT SET,VIBRATOR","둘 이상의 별도의 진동기접촉자들의 집합체이다. 제외:CONTACT ASSEMBLY,ELECTRICAL","A grouping of two or more separate vibrator contacts. Excludes:CONTACT ASSEMBLY,ELECTRICAL."
110,T01100,"접촉자세트,전압조정기용","CONTACT SET,VOLTAGE","둘 이상의 개별적인 전압조정기 접촉자들의 집합체이다. 제외:CONTACT ASSEMBLY,ELECTRICAL","A grouping of two or more separate voltage regulator contacts. Excludes:CONTACT ASSEMBLY,ELECTRICAL."
